,ppg_time,ppg_sig
3376,16.88,-15.088823483970481
3377,16.885,-14.861489108697855
3378,16.89,-14.65488374818702
3379,16.895,-14.454427629474578
3380,16.9,-14.247155434523869
3381,16.905,-14.021737488992777
3382,16.91,-13.76845394617331
3383,16.915,-13.479123694514671
3384,16.92,-13.147003634553379
3385,16.925,-12.766667438702504
3386,16.93,-12.333857985684501
3387,16.935,-11.845309893046451
3388,16.94,-11.298559791073217
3389,16.945,-10.691778270602665
3390,16.95,-10.023651579089739
3391,16.955000000000002,-9.293319363478647
3392,16.96,-8.500353892876975
3393,16.965,-7.644756454811676
3394,16.97,-6.726946690615784
3395,16.975,-5.747725004186554
3396,16.98,-4.708196289350544
3397,16.985,-3.6096574248367976
3398,16.990000000000002,-2.4534675570128797
3399,16.995,-1.240929890809457
3400,17.0,0.026788762137339744
3401,17.005,1.3486871045543893
3402,17.01,2.723911016398408
3403,17.015,4.151705132350588
3404,17.02,5.631349981901217
3405,17.025,7.1620838194614915
3406,17.03,8.742999626981456
3407,17.035,10.372925918344484
3408,17.04,12.050325374006501
3409,17.045,13.77324181305861
3410,17.05,15.53929495460319
3411,17.055,17.345699900354752
3412,17.06,19.189291874836762
3413,17.065,21.066549602183805
3414,17.07,22.973614435900245
3415,17.075,24.90629854509253
3416,17.080000000000002,26.860075379878012
3417,17.085,28.830055254919177
3418,17.09,30.81096430497818
3419,17.095,32.797155571752185
3420,17.1,34.78267632736803
3421,17.105,36.76139566361891
3422,17.11,38.72717419283722
3423,17.115000000000002,40.67404845288725
3424,17.12,42.59640705058581
3425,17.125,44.489143704049596
3426,17.13,46.34778003886261
3427,17.135,48.1685612185717
3428,17.14,49.94853715914051
3429,17.145,51.6856410361873
3430,17.150000000000002,53.378761304249586
3431,17.155,55.02778341802867
3432,17.16,56.633568978492
3433,17.165,58.19785095291612
3434,17.17,59.72304514778691
3435,17.175,61.211993585580764
3436,17.18,62.66765782526734
3437,17.185,64.09277708675076
3438,17.19,65.48950778855261
3439,17.195,66.8590674096314
3440,17.2,68.20140422088582
3441,17.205000000000002,69.51489993957394
3442,17.21,70.79610163625824
3443,17.215,72.03948986153593
3444,17.22,73.23730713491545
3445,17.225,74.37946574733247
3446,17.23,75.45353061095476
3447,17.235,76.44476154286289
3448,17.240000000000002,77.33620573016778
3449,17.245,78.10883530016888
3450,17.25,78.74172332688507
3451,17.255,79.21225951304467
3452,17.26,79.49642256761622
3453,17.265,79.56913119484487
3454,17.27,79.40468716126148
3455,17.275000000000002,78.97731617759096
3456,17.28,78.26180541795294
3457,17.285,77.23421712239754
3458,17.29,75.87262917299543
3459,17.295,74.15783795004599
3460,17.3,72.07396925188803
3461,17.305,69.60897231990016
3462,17.31,66.75500536965619
3463,17.315,63.50874372818137
3464,17.32,59.87163842238336
3465,17.325,55.850121554117386
3466,17.330000000000002,51.45572026204228
3467,17.335,46.705035542324765
3468,17.34,41.619566743984834
3469,17.345,36.22538974860917
3470,17.35,30.552708477122028
3471,17.355,24.635301893958772
3472,17.36,18.50989458069851
3473,17.365000000000002,12.215488463487196
3474,17.37,5.792695435694571
3475,17.375,-0.7169018128431741
3476,17.38,-7.271351909954187
3477,17.385,-13.828899109142663
3478,17.39,-20.348502007896023
3479,17.395,-26.790288161528117
3480,17.400000000000002,-33.115925810426106
3481,17.405,-39.28890816245435
3482,17.41,-45.274766622033475
3483,17.415,-51.041245147341535
3484,17.42,-56.55847139862817
3485,17.425,-61.799150207731884
3486,17.43,-66.7387823238381
3487,17.435,-71.35588301047663
3488,17.44,-75.63215688285472
3489,17.445,-79.55259165550677
3490,17.45,-83.10545961937724
3491,17.455000000000002,-86.2822414875057
3492,17.46,-89.0774976400117
3493,17.465,-91.48870713755849
3494,17.47,-93.51608419873047
3495,17.475,-95.16237349562279
3496,17.48,-96.43262353170873
3497,17.485,-97.33394133199464
3498,17.490000000000002,-97.87523891028039
3499,17.495,-98.06698813331928
3500,17.5,-97.92100121474479
3501,17.505,-97.45024827479257
3502,17.51,-96.66871616023927
3503,17.515,-95.59130931013725
3504,17.52,-94.23379180801437
3505,17.525000000000002,-92.61276374405654
3506,17.53,-90.74565504412314
3507,17.535,-88.65071442391607
3508,17.54,-86.34697691655616
3509,17.545,-83.85420760934299
3510,17.55,-81.19283058078298
3511,17.555,-78.38385136647175
3512,17.56,-75.4487711386701
3513,17.565,-72.4094816954069
3514,17.57,-69.28812847388176
3515,17.575,-66.10693223891003
3516,17.580000000000002,-62.88796564099496
3517,17.585,-59.65288833924714
3518,17.59,-56.4226542964996
3519,17.595,-53.21721432955295
3520,17.6,-50.0552399011881
3521,17.605,-46.95388694607201
3522,17.61,-43.928606036273536
3523,17.615000000000002,-40.992996466737445
3524,17.62,-38.158700330539546
3525,17.625,-35.435334532775336
3526,17.63,-32.83045971792011
3527,17.635,-30.349584510360316
3528,17.64,-27.99620236588769
3529,17.645,-25.771858489867352
3530,17.650000000000002,-23.676248316949682
3531,17.655,-21.707357423228093
3532,17.66,-19.86165967992981
3533,17.665,-18.134386024715777
3534,17.67,-16.5198551156493
3535,17.675,-15.011827361961855
3536,17.68,-13.603825630565929
3537,17.685,-12.289374468659489
3538,17.69,-11.062136898090587
3539,17.695,-9.915950226709818
3540,17.7,-8.844767817872247
3541,17.705000000000002,-7.842513712014021
3542,17.71,-6.902871418133349
3543,17.715,-6.019059323993397
3544,17.72,-5.183666337035602
3545,17.725,-4.388603626397246
3546,17.73,-3.625178742745525
3547,17.735,-2.8842546311091346
3548,17.740000000000002,-2.156444585780979
3549,17.745,-1.4323100193906044
3550,17.75,-0.7025499498919312
3551,17.755,0.04181766084622518
3552,17.76,0.80928641528659
3553,17.765,1.6077168881342434
3554,17.77,2.4442284356699777
3555,17.775000000000002,3.325121231040556
3556,17.78,4.255806794609336
3557,17.785,5.240734110034762
3558,17.79,6.283325555386465
3559,17.795,7.385951719672361
3560,17.8,8.549958154011644
3561,17.805,9.775724523854114
3562,17.81,11.06271985162732
3563,17.815,12.409533549508964
3564,17.82,13.813892429717425
3565,17.825,15.272686999355244
3566,17.830000000000002,16.782020069930162
3567,17.835,18.337277305328318
3568,17.84,19.933216174726116
3569,17.845,21.564071857913103
3570,17.85,23.223679873578718
3571,17.855,24.90561650118741
3572,17.86,26.603358730606953
3573,17.865000000000002,28.310460892458998
3574,17.87,30.020735367149797
3575,17.875,31.72841828908897
3576,17.88,33.42830732388936
3577,17.885,35.11587588306141
3578,17.89,36.78738049852185
3579,17.895,38.43996971761926
3580,17.900000000000002,40.07177844157279
3581,17.905,41.68197433115138
3582,17.91,43.270731359922635
3583,17.915,44.83913545851809
3584,17.92,46.38905403306046
3585,17.925,47.9230036045747
3586,17.93,49.44403152439305
3587,17.935,50.9556095144095
3588,17.94,52.461529861289016
3589,17.945,53.96579378553183
3590,17.95,55.472479042176914
3591,17.955000000000002,56.985572304388654
3592,17.96,58.50875686617551
3593,17.965,60.045158158734445
3594,17.97,61.597062019224225
3595,17.975,63.165626161241796
3596,17.98,64.75060291106693
3597,17.985,66.35008553442833
3598,17.990000000000002,67.96028459108531
3599,17.995,69.57533524982348
3600,18.0,71.18713345376219
3601,18.005,72.78520188443831
3602,18.01,74.35659536036988
3603,18.015,75.88586120281401
3604,18.02,77.3550619973018
3605,18.025000000000002,78.74384740710708
3606,18.03,80.02954972558109
3607,18.035,81.18729274025499
3608,18.04,82.19013061132168
3609,18.045,83.00924411824876
3610,18.05,83.61421640472669
3611,18.055,83.9734112428235
3612,18.06,84.05448224049444
3613,18.065,83.8250287764054
3614,18.07,83.25338403887083
3615,18.075,82.3094981593215
3616,18.080000000000002,80.96587696851479
3617,18.085,79.1985418346055
3618,18.09,76.98797729664885
3619,18.095,74.32003174648449
3620,18.1,71.18673277096472
3621,18.105,67.58697207053572
3622,18.11,63.52701356963188
3623,18.115000000000002,59.020792809179426
3624,18.12,54.08999893737003
3625,18.125,48.763942288938246
3626,18.13,43.079202566135244
3627,18.135,37.079040423008564
3628,18.14,30.812562468142016
3629,18.145,24.333662323528767
3630,18.150000000000002,17.699795480816295
3631,18.155,10.970654496536612
3632,18.16,4.206793432623986
3633,18.165,-2.5317673130916223
3634,18.17,-9.186923936523398
3635,18.175,-15.703815323392039
3636,18.18,-22.03204060339284
3637,18.185,-28.12672271527524
3638,18.19,-33.94938299329944
3639,18.195,-39.468595007084495
3640,18.2,-44.660386612796266
3641,18.205000000000002,-49.508370917703154
3642,18.21,-54.003608774594646
3643,18.215,-58.14422224829527
3644,18.22,-61.9347825108231
3645,18.225,-65.38549507415013
3646,18.23,-68.51121199429733
3647,18.235,-71.3303181872263
3648,18.240000000000002,-73.86356087798762
3649,18.245,-76.1329049797119
3650,18.25,-78.16049098620138
3651,18.255,-79.96774425177334
3652,18.26,-81.57464935804065
3653,18.265,-82.99917971728554
3654,18.27,-84.25686736368071
3655,18.275000000000002,-85.36050314310336
3656,18.28,-86.31996333053789
3657,18.285,-87.14216117421687
3658,18.29,-87.83112083260328
3659,18.295,-88.38816685165166
3660,18.3,-88.81221533442856
3661,18.305,-89.10014552589602
3662,18.31,-89.2472264365695
3663,18.315,-89.24757513231182
3664,18.32,-89.09463064816934
3665,18.325,-88.78163698290228
3666,18.330000000000002,-88.30213709318842
3667,18.335,-87.65048163975862
3668,18.34,-86.82234255518537
3669,18.345,-85.81519251415783
3670,18.35,-84.62868828481763
3671,18.355,-83.2649039349824
3672,18.36,-81.72839717354816
3673,18.365000000000002,-80.02613051452136
3674,18.37,-78.16728492998955
3675,18.375,-76.16299779744722
3676,18.38,-74.02604609476009
3677,18.385,-71.77049370648658
3678,18.39,-69.4113268082438
3679,18.395,-66.96410287176894
3680,18.400000000000002,-64.44463258965239
3681,18.405,-61.86870563979187
3682,18.41,-59.25186654198922
3683,18.415,-56.609245190645666
3684,18.42,-53.9554431350757
3685,18.425,-51.30446785599156
3686,18.43,-48.66969469522061
3687,18.435,-46.063826475454675
3688,18.44,-43.49882257531658
3689,18.445,-40.985785910905975
3690,18.45,-38.534821579822705
3691,18.455000000000002,-36.1549001962862
3692,18.46,-33.853758242811935
3693,18.465,-31.637845262689947
3694,18.47,-29.51229846338291
3695,18.475,-27.48091092153771
3696,18.48,-25.546070087588607
3697,18.485,-23.708669162818566
3698,18.490000000000002,-21.968014938401087
3699,18.495,-20.321758845672232
3700,18.5,-18.765868838050846
3701,18.505,-17.294652464054554
3702,18.51,-15.900839272585984
3703,18.515,-14.57572513487121
3704,18.52,-13.30936909789623
3705,18.525000000000002,-12.09082433594385
3706,18.53,-10.908389532650524
3707,18.535,-9.749883040167202
3708,18.54,-8.602950902836746
3709,18.545,-7.4554061462663626
3710,18.55,-6.295570642738509
3711,18.555,-5.1125779200400885
3712,18.56,-3.896605904803152
3713,18.565,-2.6390303310179606
3714,18.57,-1.3325062659832085
3715,18.575,0.029009213145593654
3716,18.580000000000002,1.4502836494393159
3717,18.585,2.9348812946931586
3718,18.59,4.485275214077128
3719,18.595,6.102981836934169
3720,18.6,7.788688489959523
3721,18.605,9.542346679161037
3722,18.61,11.363218645155918
3723,18.615000000000002,13.249878710629568
3724,18.62,15.20017900491308
3725,18.625,17.211195775992753
3726,18.63,19.2791770917086
3727,18.635,21.39951038276956
3728,18.64,23.566722741597363
3729,18.645,25.774524662429684
3730,18.650000000000002,28.01590231604728
3731,18.655,30.28324650869172
3732,18.66,32.56849288144394
3733,18.665,34.86325844743428
3734,18.67,37.158982994991504
3735,18.675,39.44708859841611
3736,18.68,41.719152465015895
3737,18.685,43.96707470414766
3738,18.69,46.18322979941639
3739,18.695,48.36060744080839
3740,18.7,50.49295792303569
3741,18.705000000000002,52.57495467230965
3742,18.71,54.60237602588424
3743,18.715,56.57229495305922
3744,18.72,58.483251275839685
3745,18.725,60.33537059935672
3746,18.73,62.130397356689095
3747,18.735,63.871630852356795
3748,18.740000000000002,65.56378033225717
3749,18.745,67.21276841249909
3750,18.75,68.82550801139013
3751,18.755,70.40966762893754
3752,18.76,71.97342998707425
3753,18.765,73.52523912582753
3754,18.77,75.07352664724858
3755,18.775000000000002,76.6264162663383
3756,18.78,78.19141946253961
3757,18.785,79.7751377782971
3758,18.79,81.38297836136613
3759,18.795,83.01888276450016
3760,18.8,84.6850712850155
3761,18.805,86.38180884005929
3762,18.81,88.10719683212675
3763,18.815,89.85699089108803
3764,18.82,91.62444191740693
3765,18.825,93.40015887513181
3766,18.830000000000002,95.17199363467546
3767,18.835,96.92494762729082
3768,18.84,98.6410977871076
3769,18.845,100.2995427774273
3770,18.85,101.87638893731172
3771,18.855,103.3448207058382
3772,18.86,104.67530050306645
3773,18.865000000000002,105.83590204483838
3774,18.87,106.79273995794881
3775,18.875,107.51047043782788
3776,18.88,107.95288417038506
3777,18.885,108.0836241334706
3778,18.89,107.86701603931749
3779,18.895,107.26894767012895
3780,18.900000000000002,106.25772394648376
3781,18.905,104.8048562604332
3782,18.91,102.88578298368535
3783,18.915,100.48053229827555
3784,18.92,97.57432348781803
3785,18.925,94.15807749311149
3786,18.93,90.22879644923366
3787,18.935,85.7897861922641
3788,18.94,80.85072498299597
3789,18.945,75.42760188006355
3790,18.95,69.54254106005749
3791,18.955000000000002,63.223500738191916
3792,18.96,56.503819426807965
3793,18.965,49.421603579202085
3794,18.97,42.01899361218346
3795,18.975,34.341369853482306
3796,18.98,26.436550857348138
3797,18.985,18.354013444193086
3798,18.990000000000002,10.144148375724132
3799,18.995,1.8575615771212037
3800,19.0,-6.455567147709923
3801,19.005,-14.7460534619398
3802,19.01,-22.966194181201548
3803,19.015,-31.07016840510824
3804,19.02,-39.01436674687846
3805,19.025000000000002,-46.75766782158992
3806,19.03,-54.26167712722639
3807,19.035,-61.49093431627965
3808,19.04,-68.41308812706252
3809,19.045,-74.99903793196006
3810,19.05,-81.22304670023317
3811,19.055,-87.06283768979763
3812,19.06,-92.49968856108109
3813,19.065,-97.51852589928014
3814,19.07,-102.10800304241266
3815,19.075,-106.26052661381982
3816,19.080000000000002,-109.97219571925672
3817,19.085,-113.24263585125756
3818,19.09,-116.07473525641782
3819,19.095,-118.47430784128746
3820,19.1,-120.44970820806965
3821,19.105,-122.01141966707183
3822,19.11,-123.17163500285
3823,19.115000000000002,-123.9438538842361
3824,19.12,-124.34252431932694
3825,19.125,-124.38275310160259
3826,19.13,-124.08010234478837
3827,19.135,-123.45047841444169
3828,19.14,-122.51010399666167
3829,19.145,-121.27554433488967
3830,19.150000000000002,-119.76374771000356
3831,19.155,-117.99207078465099
3832,19.16,-115.97828255463112
3833,19.165,-113.74055437970867
3834,19.17,-111.29744200917956
3835,19.175,-108.66786111780794
3836,19.18,-105.87105789559084
3837,19.185,-102.92657598681858
3838,19.19,-99.85421807936025
3839,19.195,-96.67399862796832
3840,19.2,-93.40608416822344
3841,19.205000000000002,-90.07071536240677
3842,19.21,-86.68810042457879
3843,19.215,-83.27826892597618
3844,19.22,-79.86088223278522
3845,19.225,-76.45500904609892
3846,19.23,-73.0788845352474
3847,19.235,-69.74967382990373
3848,19.240000000000002,-66.48325511773764
3849,19.245,-63.294028867427684
3850,19.25,-60.1947528235946
3851,19.255,-57.19639987699836
3852,19.26,-54.30803738541963
3853,19.265,-51.53673037243445
