timestamps_ecg,ecg,timestamps_ppg_1_green,ppg_1_green,timestamps_ppg_1_red,ppg_1_red,timestamps_ppg_1_ir,ppg_1_ir,timestamps_ppg_2_green,ppg_2_green,timestamps_ppg_2_red,ppg_2_red,timestamps_ppg_2_ir,ppg_2_ir
764544.0,-1447.746835443038,764836.0,30575.366336633662,764836.0,2275169.8514851485,764836.0,2546201.584158416,764812.0,21476.941176470587,764812.0,2273570.117647059,764812.0,2268105.411764706
764622.0,-1157.3544303797469,764936.0,30610.930693069306,764936.0,2275176.1485148515,764936.0,2546210.8118811883,764912.0,21485.49019607843,764912.0,2273609.529411765,764912.0,2268185.843137255
764700.0,-487.6835443037975,765036.0,30614.712871287127,765036.0,2275189.504950495,765036.0,2546228.613861386,765012.0,21522.274509803923,765012.0,2273644.2156862747,765012.0,2268284.6274509802
764778.0,255.6582278481012,765136.0,30628.61386138614,765136.0,2275201.7425742573,765136.0,2546236.871287129,765112.0,21569.176470588234,765112.0,2273698.1764705884,765112.0,2268395.1764705884
764856.0,694.75,765236.0,30635.970588235294,765236.0,2275195.2647058824,765236.0,2546252.294117647,765212.0,21606.333333333332,765212.0,2273740.3333333335,765212.0,2268484.588235294
764934.0,764.9113924050633,765336.0,30649.51485148515,765336.0,2275201.6039603963,765336.0,2546267.7326732674,765312.0,21646.333333333332,765312.0,2273787.6666666665,765312.0,2268572.6666666665
765012.0,703.8860759493671,765436.0,30672.30693069307,765436.0,2275207.8613861385,765436.0,2546269.4554455443,765412.0,21673.941176470587,765412.0,2273826.705882353,765412.0,2268644.7647058824
765090.0,757.4303797468355,765536.0,30700.10891089109,765536.0,2275217.386138614,765536.0,2546288.8217821782,765512.0,21695.574257425742,765512.0,2273844.9702970297,765512.0,2268719.594059406
765168.0,816.5443037974684,765636.0,30725.811881188118,765636.0,2275222.2574257427,765636.0,2546315.3168316833,765612.0,21723.147058823528,765612.0,2273872.470588235,765612.0,2268780.882352941
765246.0,541.2278481012659,765736.0,30733.48514851485,765736.0,2275225.9702970297,765736.0,2546327.198019802,765712.0,21733.20588235294,765712.0,2273900.754901961,765712.0,2268839.470588235
765324.0,-12.645569620253127,765836.0,30758.666666666668,765836.0,2275232.0784313725,765836.0,2546346.411764706,765812.0,21743.56862745098,765812.0,2273925.0392156863,765812.0,2268912.274509804
765402.0,-446.5,765936.0,30782.970297029704,765936.0,2275241.128712871,765936.0,2546367.2574257427,765912.0,21768.764705882353,765912.0,2273962.8235294116,765912.0,2268992.382352941
765480.0,-625.3291139240506,766036.0,30803.059405940596,766036.0,2275240.4851485146,766036.0,2546396.198019802,766012.0,21792.78431372549,766012.0,2273995.862745098,766012.0,2269073.2156862747
765558.0,-691.493670886076,766136.0,30819.396039603962,766136.0,2275250.089108911,766136.0,2546424.0198019804,766112.0,21821.225490196077,766112.0,2274016.3921568627,766112.0,2269148.931372549
765636.0,-830.4810126582279,766236.0,30847.46,766236.0,2275270.87,766236.0,2546449.25,766212.0,21847.079207920793,766212.0,2274046.702970297,766212.0,2269214.801980198
765714.0,-1072.987341772152,766336.0,30872.20588235294,766336.0,2275290.1764705884,766336.0,2546475.9411764704,766312.0,21872.5,766312.0,2274079.5,766312.0,2269281.0
765792.0,-1248.886075949367,766436.0,30886.29702970297,766436.0,2275288.702970297,766436.0,2546491.6336633665,766412.0,21908.75,766412.0,2274105.9423076925,766412.0,2269348.730769231
765870.0,-1256.4050632911392,766536.0,30903.58823529412,766536.0,2275292.117647059,766536.0,2546501.470588235,766512.0,21934.52,766512.0,2274144.92,766512.0,2269420.72
765948.0,-1129.9746835443038,766636.0,30902.762376237624,766636.0,2275287.7623762377,766636.0,2546492.9603960398,766612.0,21961.346153846152,766612.0,2274188.923076923,766612.0,2269503.0384615385
766026.0,-802.6,766736.0,30895.50495049505,766736.0,2275292.9801980196,766736.0,2546474.7722772276,766712.0,22001.7,766712.0,2274213.62,766712.0,2269571.58
