timestamps_ecg,ecg,timestamps_ppg_1_green,ppg_1_green,timestamps_ppg_1_red,ppg_1_red,timestamps_ppg_1_ir,ppg_1_ir,timestamps_ppg_2_green,ppg_2_green,timestamps_ppg_2_red,ppg_2_red,timestamps_ppg_2_ir,ppg_2_ir
730672.0,-112.0632911392405,732214.0,31747.425742574258,732214.0,2274766.4554455443,732214.0,2544852.7326732674,732201.0,28012.529411764706,732201.0,2534142.2352941176,732201.0,2539693.2352941176
730750.0,173.65822784810126,732314.0,31777.058823529413,732314.0,2274784.0,732314.0,2544866.705882353,732301.0,28018.26732673267,732301.0,2534161.801980198,732301.0,2539750.900990099
730828.0,319.40506329113924,732414.0,31799.78217821782,732414.0,2274791.336633663,732414.0,2544890.6435643565,732401.0,28031.764705882353,732401.0,2534174.3529411764,732401.0,2539809.382352941
730906.0,411.69620253164555,732514.0,31801.70297029703,732514.0,2274767.673267327,732514.0,2544878.7425742573,732501.0,28044.58823529412,732501.0,2534199.18627451,732501.0,2539857.205882353
730984.0,388.0,732614.0,31811.40594059406,732614.0,2274753.8118811883,732614.0,2544888.8415841586,732601.0,28050.08823529412,732601.0,2534225.401960784,732601.0,2539930.5588235296
731062.0,132.2784810126582,732714.0,31808.811881188118,732714.0,2274747.495049505,732714.0,2544871.0594059406,732701.0,28053.70588235294,732701.0,2534243.8235294116,732701.0,2539975.9411764704
731140.0,-359.3164556962025,732814.0,31801.049504950493,732814.0,2274742.2475247523,732814.0,2544863.9702970297,732801.0,28065.61386138614,732801.0,2534265.584158416,732801.0,2540013.5247524753
731218.0,-847.95,732914.0,31765.970297029704,732914.0,2274746.8217821782,732914.0,2544842.7623762377,732901.0,28061.29411764706,732901.0,2534276.588235294,732901.0,2540069.411764706
731296.0,-1139.0253164556962,733014.0,31745.138613861385,733014.0,2274737.3564356435,733014.0,2544799.712871287,733001.0,28067.92156862745,733001.0,2534287.411764706,733001.0,2540113.3333333335
731374.0,-1283.5949367088608,733114.0,31707.168316831685,733114.0,2274717.702970297,733114.0,2544756.2475247523,733101.0,28076.21568627451,733101.0,2534310.6274509802,733101.0,2540161.862745098
731452.0,-1417.9493670886077,733214.0,31663.425742574258,733214.0,2274712.8118811883,733214.0,2544724.5643564356,733201.0,28085.823529411766,733201.0,2534314.3529411764,733201.0,2540181.470588235
731530.0,-1611.5443037974683,733314.0,31629.465346534653,733314.0,2274691.584158416,733314.0,2544692.108910891,733301.0,28096.019801980197,733301.0,2534304.405940594,733301.0,2540142.2475247523
731608.0,-1772.886075949367,733414.0,31586.823529411766,733414.0,2274681.7647058824,733414.0,2544656.294117647,733401.0,28103.470588235294,733401.0,2534256.294117647,733401.0,2540011.0588235296
731686.0,-1768.2911392405063,733514.0,31545.029702970296,733514.0,2274677.425742574,733514.0,2544630.9504950494,733501.0,28101.06862745098,733501.0,2534146.0490196077,733501.0,2539730.568627451
731764.0,-1753.8101265822784,733614.0,31515.148514851484,733614.0,2274654.3564356435,733614.0,2544585.5346534653,733601.0,28096.519607843136,733601.0,2533981.7156862747,733601.0,2539289.7647058824
731842.0,-1807.9746835443038,733714.0,31483.227722772277,733714.0,2274656.7326732674,733714.0,2544589.6534653464,733701.0,28077.0,733701.0,2533768.0,733701.0,2538716.5
731920.0,-1614.1518987341772,733814.0,31450.79207920792,733814.0,2274640.0594059406,733814.0,2544571.4356435644,733801.0,28025.950495049507,733801.0,2533534.4455445544,733801.0,2538083.504950495
731998.0,-1196.1875,733914.0,31446.27722772277,733914.0,2274614.712871287,733914.0,2544536.8217821782,733901.0,27953.470588235294,733901.0,2533322.7647058824,733901.0,2537534.2352941176
732076.0,-1138.506329113924,734014.0,31418.257425742573,734014.0,2274625.9504950494,734014.0,2544534.0,734001.0,27876.529411764706,734001.0,2533166.2352941176,734001.0,2537139.0784313725
732154.0,-2123.873417721519,734114.0,31403.128712871287,734114.0,2274624.5643564356,734114.0,2544533.405940594,734101.0,27794.29411764706,734101.0,2533069.6470588236,734101.0,2536875.31372549
732232.0,-3142.53164556962,734214.0,31381.881188118812,734214.0,2274613.673267327,734214.0,2544519.089108911,734201.0,27704.647058823528,734201.0,2532998.1764705884,734201.0,2536702.411764706
732310.0,-622.2278481012659,734314.0,31378.059405940596,734314.0,2274602.881188119,734314.0,2544521.326732673,734301.0,27635.61386138614,734301.0,2532941.1584158414,734301.0,2536590.425742574
732388.0,7092.240506329114,734414.0,31380.950980392157,734414.0,2274597.1078431373,734414.0,2544488.2156862747,734401.0,27587.70588235294,734401.0,2532906.6764705884,734401.0,2536530.382352941
732466.0,15242.367088607596,734514.0,31376.049019607843,734514.0,2274607.8921568627,734514.0,2544509.7843137253,734501.0,27550.666666666668,734501.0,2532891.4509803923,734501.0,2536486.4607843137
732544.0,16584.58227848101,734614.0,31359.336633663366,734614.0,2274614.8613861385,734614.0,2544498.2376237623,734601.0,27517.676470588234,734601.0,2532897.774509804,734601.0,2536494.3529411764
