,ecg_time,ecg_sig
14777,73.885,-353.7111028105453
14778,73.89,-258.3106532175695
14779,73.895,-149.98755418266904
14780,73.9,-23.652369735083305
14781,73.905,122.62830289514733
14782,73.91,283.5560044847753
14783,73.915,447.11914480519005
14784,73.92,600.293007556411
14785,73.925,735.8989361650694
14786,73.93,855.9502334702399
14787,73.935,970.0286359916057
14788,73.94,1090.075052420171
14789,73.94500000000001,1223.6822712495202
14790,73.95,1368.0624237053485
14791,73.955,1506.9666528571952
14792,73.96000000000001,1612.1921270291825
14793,73.965,1650.1459961720934
14794,73.97,1592.6683647246787
14795,73.97500000000001,1428.9385934903255
14796,73.98,1172.2729933583892
14797,73.985,856.2351302120405
14798,73.99,521.1693214341082
14799,73.995,199.55946705069118
14800,74.0,-91.30951847861488
14801,74.005,-347.62210592677945
14802,74.01,-572.366520565723
14803,74.015,-768.6857879073823
14804,74.02,-936.2493580173701
14805,74.025,-1071.5810715251146
14806,74.03,-1171.0702204094875
14807,74.035,-1233.7131030014814
14808,74.04,-1261.495903546512
14809,74.045,-1258.1950806430211
14810,74.05,-1228.8328916216587
14811,74.055,-1180.5302818827759
14812,74.06,-1123.2560007418685
14813,74.065,-1068.5339921239506
14814,74.07000000000001,-1025.7519827690428
14815,74.075,-998.0002269157382
14816,74.08,-980.5865462698465
14817,74.08500000000001,-963.9593386823725
14818,74.09,-939.3594963751873
14819,74.095,-903.4208657559683
14820,74.10000000000001,-859.3056408719101
14821,74.105,-814.7613230679025
14822,74.11,-778.6216696338336
14823,74.115,-756.9704966457102
14824,74.12,-750.3818873563139
14825,74.125,-753.9198214467826
14826,74.13,-760.1564289298046
14827,74.135,-763.1372085629017
14828,74.14,-760.742343630139
14829,74.145,-754.740162223226
14830,74.15,-749.4746173225994
14831,74.155,-749.9630926870079
14832,74.16,-759.5565126234859
14833,74.165,-777.7640087936143
14834,74.17,-799.5382836757494
14835,74.175,-816.773585866847
14836,74.18,-821.3848591052786
14837,74.185,-808.5404524807642
14838,74.19,-778.7129952155894
14839,74.19500000000001,-737.6516410151654
14840,74.2,-694.163444891687
14841,74.205,-656.7660936545689
14842,74.21000000000001,-630.9332549403689
14843,74.215,-618.0264901127606
14844,74.22,-615.8383878456652
14845,74.22500000000001,-620.1407078416156
14846,74.23,-626.6336565005164
14847,74.235,-632.5438534622192
14848,74.24,-637.1264781759803
14849,74.245,-641.0705329610021
14850,74.25,-645.5878964555762
14851,74.255,-651.7255493199015
14852,74.26,-659.6863968475191
14853,74.265,-668.0001063966845
14854,74.27,-673.1020173816903
14855,74.275,-670.0116166407603
14856,74.28,-654.2550139955508
14857,74.285,-624.6657314631976
14858,74.29,-585.8213161474372
14859,74.295,-547.4543083371537
14860,74.3,-518.6565180547159
14861,74.305,-498.93637453290586
14862,74.31,-472.5547840439649
14863,74.315,-411.46053228868163
14864,74.32000000000001,-286.2984464876734
14865,74.325,-80.44857429132017
14866,74.33,198.75738897905194
14867,74.33500000000001,517.2279351025304
14868,74.34,823.815652612351
14869,74.345,1070.482526368093
14870,74.35000000000001,1232.1487595127246
14871,74.355,1312.9788508255406
14872,74.36,1334.2226362705044
14873,74.365,1312.0110043003235
14874,74.37,1241.6780238862973
14875,74.375,1101.7989211891286
14876,74.38,876.6598796373993
14877,74.385,579.9183009239932
14878,74.39,259.10451119866207
14879,74.395,-24.792477376695615
14880,74.4,-228.52973047493037
14881,74.405,-346.96796428723786
14882,74.41,-410.46168550136747
14883,74.415,-463.0952254443485
14884,74.42,-535.9320847593641
14885,74.425,-631.0243782456728
14886,74.43,-726.2632804957998
14887,74.435,-798.4934317846036
14888,74.44,-846.5975624574936
14889,74.44500000000001,-891.1056311826201
14890,74.45,-944.67698442426
14891,74.455,-978.9118055069601
14892,74.46000000000001,-926.6017309091203
14893,74.465,-735.5130330143509
14894,74.47,-446.5388879358844
14895,74.47500000000001,-236.68514040594488
14896,74.48,-362.5726465686821
14897,74.485,-976.5398072057225
14898,74.49,-1881.6102406772786
14899,74.495,-2407.233767615303
14900,74.5,-1603.196194010381
14901,74.505,1232.0434164900976
14902,74.51,5962.522731156705
14903,74.515,11391.040856999247
14904,74.52,15659.622684173253
14905,74.525,17126.531865514393
14906,74.53,15218.22331923601
14907,74.535,10730.583756714783
14908,74.54,5393.7838103531485
14909,74.545,977.7681991492369
14910,74.55,-1521.7241420079872
14911,74.555,-2173.147171896897
14912,74.56,-1792.365558780527
14913,74.565,-1307.402883964836
14914,74.57000000000001,-1238.2646113137494
14915,74.575,-1572.527288135403
14916,74.58,-2002.2590713068544
14917,74.58500000000001,-2256.0587484324033
14918,74.59,-2271.413228680205
14919,74.595,-2149.66829758207
14920,74.60000000000001,-2015.9236770102034
14921,74.605,-1927.764285995203
14922,74.61,-1876.2107708660587
14923,74.615,-1830.8004084727122
14924,74.62,-1771.5987427063408
14925,74.625,-1693.3650637100131
14926,74.63,-1598.2810692304392
14927,74.635,-1492.0199594886165
14928,74.64,-1383.5589311014373
14929,74.645,-1283.522984119663
14930,74.65,-1200.02033928122
14931,74.655,-1135.058882194723
14932,74.66,-1084.0121732897296
14933,74.665,-1038.0057466555609
14934,74.67,-987.6941439469065
14935,74.675,-926.7064783494388
14936,74.68,-853.3015298565304
14937,74.685,-769.7548695010828
14938,74.69,-680.4449032571928
14939,74.69500000000001,-590.038033852592
14940,74.7,-502.15529624800797
14941,74.705,-418.13659649465353
14942,74.71000000000001,-336.16248412251275
14943,74.715,-251.66066038070562
14944,74.72,-159.15437758373628
14945,74.72500000000001,-54.52437139297179
14946,74.73,63.37907044205134
14947,74.735,192.23112389137108
14948,74.74,327.16835335020585
14949,74.745,463.23877356292826
14950,74.75,598.1477609609091
14951,74.755,733.0855982276139
14952,74.76,870.6591924155335
14953,74.765,1011.5251196629373
14954,74.77,1152.2554958937637
14955,74.775,1285.3449827713182
